id,user_id,title,created_at,updated_at
d99e3ec7-b3f1-4983-8163-b053c96e485c,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Conversación privada de A,2026-06-06 21:23:11.469272+00,2026-06-06 21:23:11.469272+00
d89aee22-0fd9-400a-874b-46ce2c973b4a,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Conversación privada de A,2026-06-06 21:25:42.096697+00,2026-06-06 21:25:42.096697+00
f9d23a14-0349-47b6-aef0-e0d48da92f24,ce75ac84-623f-40cd-ac17-211a98dfaf8b,Sebastián Rojas — consulta CEE [PRUEBA],2026-06-02 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
c0000001-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,María González — Info del CCAT,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
c0000002-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,María González — Horarios de talleres,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
36d0f093-efa2-4f23-92b0-cb4d51c66a43,226a5803-9725-4580-9554-97f99816526f,Carlos Ramos — consulta CEE [PRUEBA],2026-05-24 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
c0000003-0000-0000-0000-000000000003,22222222-2222-2222-2222-222222222222,Carlos Ramírez — ¿Cómo me inscribo?,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
1f9ae857-3bd4-4b60-b86b-899433ff52b8,5f67146f-8807-4a42-8155-ce34cc92c576,Andrea Fernández — consulta CEE [PRUEBA],2026-05-15 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
c0000004-0000-0000-0000-000000000004,33333333-3333-3333-3333-333333333333,Lucía Fernández — Proyectos del club,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
c0000005-0000-0000-0000-000000000005,44444444-4444-4444-4444-444444444444,Diego Torres — Requisitos para unirme,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
c0000006-0000-0000-0000-000000000006,55555555-5555-5555-5555-555555555555,Valeria Quispe — Eventos próximos,2026-06-06 23:38:05.505111+00,2026-06-06 23:38:05.505111+00
75b40fda-8201-4433-9f14-19ae614f9759,9b57cedd-2a18-4388-810a-cd011dbf8aec,Andrea Cáceres — consulta CEE [PRUEBA],2026-05-15 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
436c533a-9263-41f0-82ef-7bad9b0d0b6f,e68d63df-88b0-4f21-9e9d-0b908bedb968,Paola Ramírez — consulta CEE [PRUEBA],2026-05-18 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
b7c7c446-c491-4e9b-ac33-9b58968bc367,7382a7c7-8bd0-419e-a9ac-ddeb7a36f458,José Mendoza — consulta CEE [PRUEBA],2026-06-02 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
61c8d23b-e923-43b8-8f7b-407f29e90255,e34b0cda-e725-4126-ac6d-48fb2485403e,María Rojas — consulta CEE [PRUEBA],2026-06-01 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
c0b343a9-edb0-4390-82d1-d91bb2e1520f,9a092931-f806-4a92-a9a7-5df5601c6ded,Sofía Huamán — consulta CEE [PRUEBA],2026-05-29 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
81e4884b-e144-403d-bf4a-7e30f75c2439,0f5e9fa2-7128-4dbd-886b-5f1a2e32fda3,Luis Mendoza — consulta CEE [PRUEBA],2026-06-06 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
c993e672-75da-4032-8c08-680c7a656708,d89b2328-7bdb-4b05-b0fd-d689b82962d1,Diego Fernández — consulta CEE [PRUEBA],2026-05-14 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
b651a5ff-225c-4632-adb0-f0d624796149,99c897d2-4cf2-4d51-ac47-2b2e153e5162,Diego Chávez — consulta CEE [PRUEBA],2026-06-02 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
6052dd79-fbc8-461f-a001-380baba8cbc5,235cf0fe-0d26-4627-889a-c5cdf9265f4d,Andrea Chávez — consulta CEE [PRUEBA],2026-05-29 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
cbc265cc-be89-4bb2-8cf5-21424a4e381f,36b0a13c-04df-459a-b37a-090aff8d7d6a,Álvaro Díaz — consulta CEE [PRUEBA],2026-05-15 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
851ca514-f33b-4402-922b-07ac5dae4f72,4f9002d5-2f98-49e7-89a9-44ecfd178dbb,Fernanda Castillo — consulta CEE [PRUEBA],2026-06-01 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
ed2fc207-6447-4dd4-85ef-e8f37960f7a0,947f0a17-79a9-490e-a911-46a6239cb373,Daniela Quispe — consulta CEE [PRUEBA],2026-05-14 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
323df8c4-b744-425f-9eea-cd9b8c8ded5f,4ddf9a81-b89b-4e1c-ade0-b430986ac7b5,Miguel Flores — consulta CEE [PRUEBA],2026-05-31 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
0448ddbc-b6aa-4196-80b2-af4830c55911,d91d0663-8162-44e4-b103-65535bcd14b1,Renzo Díaz — consulta CEE [PRUEBA],2026-05-31 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
463246c9-3e1b-4166-affc-14948129df48,0c221ea9-41c9-41bc-88e0-6cff25a8cfdf,Álvaro Rojas — consulta CEE [PRUEBA],2026-05-28 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
ee7806db-4b21-4d87-a3ac-957ac15bd4e2,23b3337b-d427-4b1a-b755-a051042e1353,Miguel Mendoza — consulta CEE [PRUEBA],2026-05-13 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
8d125f44-e93b-438f-afec-f9eb67301426,68b3f2e8-4418-4c72-b46b-65e889badaae,Sebastián Díaz — consulta CEE [PRUEBA],2026-05-31 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
733f2e90-27ce-4020-83d2-881be5e1d738,d0f5f011-67c7-4216-8bb0-58000cfe09d2,Valeria González — consulta CEE [PRUEBA],2026-06-02 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
faf1e5e5-19ac-4a32-86d7-80fb6edd9ac2,13e16a3b-66ba-49c2-bfa4-b86723cd3f8f,María Vargas — consulta CEE [PRUEBA],2026-05-31 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
5da8ba9d-dddb-44e0-b955-0d8763a4f1cc,01efee05-b69a-4c43-8aa7-84ad20a095c1,Valeria Vargas — consulta CEE [PRUEBA],2026-05-28 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
337c42b4-502a-4079-b2cd-afa7683fce63,a1d1f9b2-e9dd-4b6f-80b0-8109d30b6c0c,Camila Rojas — consulta CEE [PRUEBA],2026-05-14 23:44:57.635829+00,2026-06-06 23:44:57.635829+00
ee611ac4-c5f0-4186-8a67-33a0b264e482,679ee4be-7b7c-4597-b391-a7e7a5744a81,Valeria Torres — consulta CEE [PRUEBA],2026-05-22 23:45:48.357148+00,2026-06-06 23:45:48.357148+00
